City,Country,Region,_time,count,isIP,isIPv6,isMissingLocation,isPrivateOrReserved,lat,lon,modifiedByPython,modifiedByPythonTimestamp,src
,Norway,Oslo County,2022-01-31T06:33:30.000+0100,1,true,false,true,false,59.86360,10.79610,,,77.16.74.168
Oslo,Norway,Oslo County,2022-01-31T06:31:56.000+0100,7,true,false,false,false,59.95500,10.85900,,,46.212.45.152
Raholt,Norway,Viken,2022-01-31T06:30:37.000+0100,30,true,false,false,false,60.27630,11.17960,,,158.248.15.221
Stabekk,Norway,Viken,2022-01-31T06:29:15.000+0100,3,true,false,false,false,59.91060,10.61560,,,46.9.228.173
Lierskogen,Norway,Viken,2022-01-31T06:26:21.000+0100,5,true,false,false,false,59.82360,10.33200,,,79.160.216.182
Moss,Norway,Viken,2022-01-31T06:24:58.000+0100,3,true,false,false,false,59.43740,10.65420,,,85.166.43.51
,Norway,,2022-01-31T06:24:53.000+0100,6,true,false,true,false,59.94520,10.75590,,,77.16.33.215
Oslo,Norway,Oslo County,2022-01-31T06:24:43.000+0100,1,true,false,false,false,59.95500,10.85900,,,158.248.79.226
Flateby,Norway,Viken,2022-01-31T06:22:49.000+0100,10,true,false,false,false,59.82660,11.14050,,,51.175.94.197
Levanger,Norway,Trøndelag,2022-01-31T06:21:40.000+0100,2,true,false,false,false,63.74890,11.29730,,,88.94.78.78
Oslo,Norway,Oslo County,2022-01-31T06:17:22.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.180.91
Oslo,Norway,Oslo County,2022-01-31T06:15:40.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.91.112
Oslo,Norway,Oslo County,2022-01-31T06:14:41.000+0100,8,true,false,false,false,59.95500,10.85900,,,92.220.114.200
Gjettum,Norway,Viken,2022-01-31T06:09:39.000+0100,1,true,false,false,false,59.90820,10.52160,,,46.9.83.82
Stabekk,Norway,Viken,2022-01-31T06:05:58.000+0100,4,true,false,false,false,59.90240,10.60960,,,85.164.88.165
Rykkin,Norway,Viken,2022-01-31T06:01:48.000+0100,3,true,false,false,false,59.92810,10.49650,,,85.167.19.184
Baerums verk,Norway,Viken,2022-01-31T05:30:16.000+0100,2,true,false,false,false,59.94540,10.51110,,,109.189.55.198
,Norway,,2022-01-31T03:22:20.000+0100,1,true,false,true,false,59.94520,10.75590,,,89.8.57.111
,Norway,,2022-01-31T01:59:19.000+0100,2,true,false,true,false,59.94520,10.75590,,,77.16.34.110
Hasle,Norway,Viken,2022-01-31T01:47:47.000+0100,15,true,false,false,false,59.93350,10.58370,,,88.95.68.138
Tromsø,Norway,Troms og Finnmark,2022-01-31T01:47:35.000+0100,2,true,false,false,false,69.66560,18.93800,,,195.139.243.75
Oslo,Norway,Oslo County,2022-01-31T00:24:05.000+0100,5,true,false,false,false,59.95500,10.85900,,,84.209.145.183
Oslo,Norway,Oslo County,2022-01-31T00:16:31.000+0100,6,true,false,false,false,59.95500,10.85900,,,92.220.115.34
Klofta,Norway,Viken,2022-01-30T23:57:07.000+0100,4,true,false,false,false,60.05220,11.13390,,,80.203.56.127
Oslo,Norway,Oslo County,2022-01-30T23:46:21.000+0100,1,true,false,false,false,59.95500,10.85900,,,81.191.200.251
Hovik verk,Norway,Viken,2022-01-30T23:42:38.000+0100,3,true,false,false,false,59.89220,10.57990,,,88.95.63.246
Gjettum,Norway,Viken,2022-01-30T23:41:01.000+0100,2,true,false,false,false,59.90650,10.53710,,,95.34.87.155
Kolbotn,Norway,Viken,2022-01-30T23:29:50.000+0100,4,true,false,false,false,59.80830,10.80040,,,81.166.223.136
Oslo,Norway,Oslo County,2022-01-30T23:19:51.000+0100,1,true,false,false,false,59.95500,10.85900,,,193.69.221.43
Oslo,Norway,Oslo County,2022-01-30T23:14:43.000+0100,22,true,false,false,false,59.95500,10.85900,,,51.175.165.159
Oslo,Norway,Oslo County,2022-01-30T23:09:36.000+0100,1,true,false,false,false,59.95500,10.85900,,,217.197.166.27
Fornebu,Norway,Viken,2022-01-30T23:03:17.000+0100,8,true,false,false,false,59.89040,10.61240,,,158.248.77.18
Lysaker,Norway,Viken,2022-01-30T23:01:26.000+0100,30,true,false,false,false,59.90680,10.63930,,,109.189.206.19
Rykkin,Norway,Viken,2022-01-30T22:59:57.000+0100,26,true,false,false,false,59.93190,10.48140,,,95.34.109.83
Hasle,Norway,Viken,2022-01-30T22:54:46.000+0100,6,true,false,false,false,59.93350,10.58370,,,46.9.42.58
Vestfossen,Norway,Viken,2022-01-30T22:48:41.000+0100,1,true,false,false,false,59.72920,9.86450,,,89.10.98.177
Oslo,Norway,Oslo County,2022-01-30T22:47:18.000+0100,2,true,false,false,false,59.95500,10.85900,,,193.75.62.93
Hovik verk,Norway,Viken,2022-01-30T22:46:40.000+0100,1,true,false,false,false,59.89220,10.57990,,,95.34.5.84
Sandvika,Norway,Viken,2022-01-30T22:37:34.000+0100,2,true,false,false,false,59.89520,10.52950,,,109.189.208.63
Oslo,Norway,Oslo County,2022-01-30T22:33:49.000+0100,7,true,false,false,false,59.95500,10.85900,,,158.248.123.102
Fornebu,Norway,Viken,2022-01-30T22:33:40.000+0100,1,true,false,false,false,59.89040,10.61240,,,158.248.77.4
